SETTLEMENTDATE,Wind,Gas (OCGT),Gas (CCGT),Gas (Thermal),Distillate,NETINTERCHANGE,Solar
2016-11-09 00:30:00,511.3929175,99.87,170.290648333,465.079386667,0,229.25,0
2016-11-09 01:00:00,498.405282167,103.77,172.672546667,364.901068333,0,209.8,0
2016-11-09 01:30:00,485.624066167,98.0083333333,169.358595,318.913213333,0,199.45,0
2016-11-09 02:00:00,461.348097667,102.105,171.429815,271.172538333,0,233.06,0
2016-11-09 02:30:00,421.919491667,102.188333333,171.119131667,269.657656667,0,269.94,0
2016-11-09 03:00:00,410.1478755,96.2166666667,168.944355,257.528713333,0,215.38,0
2016-11-09 03:30:00,408.639905,101.358333333,171.740503333,270.177091667,0,208.38,0
2016-11-09 04:00:00,398.807410833,96.7666666667,168.32299,257.804253333,0,224.08,0
2016-11-09 04:30:00,392.367111667,102.501666667,171.740496667,273.430268333,0,247.28,0
2016-11-09 05:00:00,374.452038833,95.905,168.73723,261.659915,0,252.4,0
2016-11-09 05:30:00,382.892237333,96.3816666667,168.633675,344.953331667,0,143.3,0
2016-11-09 06:00:00,398.3345285,96.1566666667,168.73723,479.760573333,0,119.56,6
2016-11-09 06:30:00,423.2935765,102.558333333,169.255033333,574.613375,0,85.19,27
2016-11-09 07:00:00,407.918791833,180.85,193.281201667,584.740878333,0,123.33,63
2016-11-09 07:30:00,374.312249833,180.586666667,193.591886667,551.117313333,0,293.06,112
2016-11-09 08:00:00,330.69241,181.315,198.769933333,456.965381667,0,264.45,170
2016-11-09 08:30:00,271.284096,184.716666667,200.634033333,454.146601667,0,115.72,206
2016-11-09 09:00:00,248.247956333,180.031666667,187.79246,395.210433333,0,299.82,248
2016-11-09 09:30:00,218.482369333,181.701666667,169.669278333,348.633433333,5.1666666667,316.23,283
2016-11-09 10:00:00,156.139913167,188.008333333,189.24232,435.457206667,7,270.04,324
2016-11-09 10:30:00,69.3817378333,184.291666667,185.617681667,466.433663333,6.8333333333,223.14,336
2016-11-09 11:00:00,41.2533155,184.615,206.122771667,410.30639,7.1666666667,325.5,346
2016-11-09 11:30:00,29.6276293333,184.965,199.287743333,339.115331667,6.8333333333,357.67,363
2016-11-09 12:00:00,28.3843165,181.603333333,185.203435,313.43112,8,362.74,412
2016-11-09 12:30:00,32.9490633333,183.56,196.180906667,343.509503333,6.3333333333,307.43,433
2016-11-09 13:00:00,32.0595548333,180.593333333,198.873496667,343.289485,6,320.96,427
2016-11-09 13:30:00,64.7237786667,186.498333333,201.87677,356.487826667,6.5,281.49,414
2016-11-09 14:00:00,86.0780578333,184.708333333,200.841153333,346.548391667,7,289.7,398
2016-11-09 14:30:00,83.4062676667,187.225,201.980326667,353.082873333,7,304.84,369
2016-11-09 15:00:00,72.3822693333,185.163333333,206.01921,362.26471,7.3333333333,320.36,337
2016-11-09 15:30:00,84.9348465,182.913333333,204.672915,358.814296667,7.1666666667,307.49,315
2016-11-09 16:00:00,132.1824925,181.838333333,198.666375,383.299541667,7.3333333333,267.67,269
2016-11-09 16:30:00,182.486707667,184.06,200.11623,407.58089,7.6666666667,263.14,226
2016-11-09 17:00:00,287.362441333,180.638333333,199.391301667,397.290585,5.3333333333,182.33,158
2016-11-09 17:30:00,448.8820295,180.215,182.925093333,360.499075,0,172.04,117
2016-11-09 18:00:00,445.7828305,181.548333333,175.779383333,358.909503333,0,283.59,62
2016-11-09 18:30:00,369.772048333,184.723333333,193.799005,383.021048333,0,295.44,22
2016-11-09 19:00:00,395.049367833,117.356666667,203.637308333,403.117378333,0,327.46,5
2016-11-09 19:30:00,449.478544,99.0466666667,202.083886667,399.990586667,0,323.47,0
2016-11-09 20:00:00,436.9333095,102.105,216.789556667,526.256921667,0,219.25,0
2016-11-09 20:30:00,404.599218,93.625,213.061358333,488.190406667,0,416.86,0
2016-11-09 21:00:00,426.852903167,24.7333333333,196.905838333,391.334395,0,510.98,0
2016-11-09 21:30:00,420.243611167,0,195.559541667,379.439648333,0,483.45,0
2016-11-09 22:00:00,431.966542167,0,174.743768333,322.964175,0,412.72,0
2016-11-09 22:30:00,430.388346667,0,198.769936667,409.105735,0,394.12,0
2016-11-09 23:00:00,420.7128735,0,193.281198333,368.063583333,0,343.98,0
2016-11-09 23:30:00,416.9336775,0,193.591883333,509.57027,0,175.2,0
2016-11-10 00:00:00,407.876489333,0,213.993411667,619.1222,0,334.5,0
2016-11-10 00:30:00,416.0470635,0,192.142026667,412.547276667,0,462.37,0
2016-11-10 01:00:00,360.858584667,0,209.02248,365.208256667,0,463.59,0
2016-11-10 01:30:00,385.066759667,0,179.507576667,256.611436667,0,458.14,0
2016-11-10 02:00:00,364.8938225,0,175.986506667,178.351321667,0,485.1,0
2016-11-10 02:30:00,343.987347333,0,177.747043333,185.222363333,0,495.56,0
2016-11-10 03:00:00,343.431989167,0,180.128945,181.818655,0,410.35,0
2016-11-10 03:30:00,415.142856333,0,170.083525,174.461073333,0,329.99,0
2016-11-10 04:00:00,409.8897465,0,170.497771667,176.13012,0,417.44,0
2016-11-10 04:30:00,451.117873667,0,163.144931667,177.422751667,0,403.64,0
2016-11-10 05:00:00,472.242532,0,159.727418333,189.639406667,0,291.45,0
2016-11-10 05:30:00,478.959087167,0,159.520295,246.335328333,0,337.29,0
2016-11-10 06:00:00,425.2602045,0,159.416733333,347.051693333,0,329.19,7
2016-11-10 06:30:00,395.681955,0,215.443263333,414.90954,0,376.38,29
2016-11-10 07:00:00,358.484563833,0,234.08425,461.497558333,0,370.26,64
2016-11-10 07:30:00,276.8222755,0,222.071171667,441.336785,0,561.79,113
2016-11-10 08:00:00,176.898325833,0,223.935273333,479.370093333,0,498.09,162
2016-11-10 08:30:00,125.735060667,0,219.275026667,478.434546667,0,517.16,216
2016-11-10 09:00:00,151.698942,0,214.925463333,479.569855,0,399.99,256
2016-11-10 09:30:00,152.774370833,0,220.828438333,410.106933333,0,464.59,280
2016-11-10 10:00:00,82.8355351667,0,227.145663333,464.772963333,0,410.22,331
2016-11-10 10:30:00,75.4723016667,6.1583333333,226.938541667,439.717656667,0,471.3,310
2016-11-10 11:00:00,62.5442451667,83.7333333333,221.242685,364.732106667,5.9,492.78,330
